1020	Add Documentation for The Lazy Data Type and its Operations	khajavi:lazy-documentation	MERGED	2026-02-09T11:16:00Z
1019	Prepare Sidebar for Publishing Docs on zio.dev	khajavi:docs-sidebar	MERGED	2026-02-09T10:03:21Z
1017	feat(openapi): add OpenAPI 3.1 module with spec-compliant JSON codecs	planning/openapi-3.1	OPEN	2026-02-09T06:53:00Z
1016	feat(schema-xml): Add XML support module with schema-driven codec derivation	911-xml-support	OPEN	2026-02-08T21:45:20Z
1015	feat(scope): Compile-time safe resource management with tag hierarchy	refactor/scope-tag-hierarchy	MERGED	2026-02-08T20:30:26Z
1014	feat(schema): implement zero-overhead algebraic migration system (#519)	mccoychang:feature/zero-overhead-migration	CLOSED	2026-02-08T07:02:47Z
1013	Update zio-prelude to 1.0.0-RC46	update/zio-prelude-1.0.0-RC46	MERGED	2026-02-08T01:19:07Z
1012	Fix inconsistent TypeIds	ghostdogpr:fix-typeid	MERGED	2026-02-08T01:08:39Z
1011	Add serializable schema migration system (#519)	promisingcoder:feature/schema-migration-system	CLOSED	2026-02-08T00:24:35Z
1009	Fix newtype dealiasing issue	ghostdogpr:fix-newtype	MERGED	2026-02-07T23:47:58Z
1008	feat(migration): serializable migration system with ergonomic APIs	schema-migration-clean	CLOSED	2026-02-07T16:36:34Z
1007	feat(schema): add DynamicValue support to Into/As macros	feature/981-into-as-dynamicvalue	OPEN	2026-02-07T16:35:40Z
1004	Reduce bytecode generate by TypeId for common use cases	ghostdogpr:reduce-typeid-bytecode	MERGED	2026-02-07T12:58:03Z
1003	Verify Compilation of Docs on PRs and Publish Docs on Releases	khajavi:verify-docs-on-ci	MERGED	2026-02-07T12:55:18Z
1002	feat(mediatype): add media type micro library with compile-time validated interpolator	feat/mediatype	MERGED	2026-02-07T09:34:15Z
1001	Reduce bytecode generated by Owner creation macro	ghostdogpr:typeid-owner	MERGED	2026-02-07T01:54:31Z
1000	Filter common base types from TypeDefKind to reduce generated bytecode	ghostdogpr:typeid-size	MERGED	2026-02-07T01:12:22Z
999	Update toon4s-core to 0.7.0	update/toon4s-core-0.7.0	MERGED	2026-02-07T00:57:55Z
998	Schema migration system for ZIO Schema 2	Godzilla675:schema-migration-for-zio-schema-2-system-v3	CLOSED	2026-02-06T18:25:07Z
